timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1579407630129,77,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-1,text,false,Test failed: code expected to match /200/,2037,0,2,2,0,0,77
1579407630129,77,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-2,text,false,Test failed: code expected to match /200/,2037,0,2,2,0,0,77
1579407630213,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-2,text,false,Test failed: code expected to match /200/,2037,0,2,2,0,0,1
1579407630214,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-1,text,false,Test failed: code expected to match /200/,2037,0,2,2,0,0,1
1579407630215,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-2,text,false,Test failed: code expected to match /200/,2037,0,2,2,0,0,1
1579407630216,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-1,text,false,Test failed: code expected to match /200/,2037,0,2,2,0,0,1
1579407630217,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-2,text,false,Test failed: code expected to match /200/,2037,0,2,2,0,0,1
1579407630218,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-1,text,false,Test failed: code expected to match /200/,2037,0,2,2,0,0,1
1579407630219,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-2,text,false,Test failed: code expected to match /200/,2037,0,2,2,0,0,1
1579407630220,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-1,text,false,Test failed: code expected to match /200/,2037,0,2,2,0,0,0
1579407630221,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused,Thread Group 1-2,text,false,Test failed: code expected to match /200/,2037,0,2,2,0,0,1
